# Nmap 7.99 scan initiated Fri Sep 18 03:35:52 2026 as: /usr/lib/nmap/nmap --privileged -p- -T4 -oN /home/kali/Lab-Notes/Bab-03-Active-Recon/01-full-portscan-20260918-033552.txt 192.168.56.103
Warning: 192.168.56.103 giving up on port because retransmission cap hit (6).
Nmap scan report for 192.168.56.103
Host is up (0.00065s latency).
Not shown: 50684 filtered tcp ports (no-response), 14821 closed tcp ports (reset)
PORT      STATE SERVICE
21/tcp    open  ftp
22/tcp    open  ssh
23/tcp    open  telnet
25/tcp    open  smtp
53/tcp    open  domain
80/tcp    open  http
111/tcp   open  rpcbind
139/tcp   open  netbios-ssn
445/tcp   open  microsoft-ds
512/tcp   open  exec
513/tcp   open  login
514/tcp   open  shell
1099/tcp  open  rmiregistry
1524/tcp  open  ingreslock
2049/tcp  open  nfs
2121/tcp  open  ccproxy-ftp
3306/tcp  open  mysql
3632/tcp  open  distccd
5432/tcp  open  postgresql
5900/tcp  open  vnc
6000/tcp  open  X11
6667/tcp  open  irc
6697/tcp  open  ircs-u
8009/tcp  open  ajp13
8180/tcp  open  unknown
8787/tcp  open  msgsrvr
33915/tcp open  unknown
43324/tcp open  unknown
51998/tcp open  unknown
60819/tcp open  unknown

# Nmap done at Fri Sep 18 05:16:03 2026 -- 1 IP address (1 host up) scanned in 6011.36 seconds
